College Name,City,State,Score,Rank
Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.32,1
Indian Institute of Management Bangalore,Bengaluru,Karnataka,81.16,2
Indian Institute of Management Kozhikode,Kozhikode,Kerala,77.90,3
Indian Institute of Technology Delhi,New Delhi,Delhi,76.25,4
Indian Institute of Management Calcutta,Kolkata,West Bengal,75.07,5
Indian Institute of Management Mumbai,Mumbai,Maharashtra,74.73,6
Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,74.43,7
Indian Institute of Management Indore,Indore,Madhya Pradesh,73.53,8
XLRI - Xavier School of Management,Jamshedpur,Jharkhand,68.13,9
Indian Institute of Technology Bombay,Mumbai,Maharashtra,67.16,10
Management Development Institute,Gurugram,Haryana,66.85,11
Indian Institute of Management Rohtak,Rohtak,Haryana,66.49,12
Symbiosis Institute of Business Management,Pune,Maharashtra,65.13,13
Indian Institute of Management Raipur,Raipur,Chhattisgarh,64.40,14
Indian Institute of Foreign Trade,New Delhi,Delhi,62.36,15
Indian Institute of Technology Madras,Chennai,Tamil Nadu,61.73,16
Indian Institute of Management Ranchi,Ranchi,Jharkhand,61.27,17
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,61.21,18
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,61.03,19
S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,60.97,20
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,60.96,21
Indian Institute of Management Udaipur,Udaipur,Rajasthan,60.93,22
Indian Institute of Management Kashipur,Kashipur,Uttarakhand,60.82,23
Indian Institute of Management Shillong,Shillong,Meghalaya,60.49,24
Jamia Millia Islamia,New Delhi,Delhi,60.32,25
Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,59.20,26
Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,57.67,27
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,57.40,28
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,57.23,29
Amity University,Gautam Budh Nagar,Uttar Pradesh,57.23,29
Indian Institute of Management Nagpur,Nagpur,Maharashtra,56.94,31
MICA,Ahmedabad,Gujarat,56.62,32
Indian Institute of Management Bodh Gaya,Gaya,Bihar,56.27,33
Great Lakes Institute of Management,Chennai,Tamil Nadu,56.15,34
Institute of Management Technology,Ghaziabad,Uttar Pradesh,56.03,35
Chandigarh University,Mohali,Punjab,55.71,36
Goa Institute of Management,Sanquelim,Goa,55.67,37
Lovely Professional University,Phagwara,Punjab,55.49,38
"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,55.31,39
International Management Institute,New Delhi,Delhi,54.89,40
UPES,Dehradun,Uttarakhand,54.82,41
Indian Institute of Management Jammu (IIMJ),Jammu,Jammu and Kashmir,54.64,42
XIM University,Bhubaneswar,Odisha,54.49,43
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,53.26,44
Jaipuria Institute of Management,Noida,Uttar Pradesh,53.23,45
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,52.78,46
Indian Institute of Management Amritsar,Amritsar,Punjab,52.57,47
Banaras Hindu University,Varanasi,Uttar Pradesh,52.26,48
Institute of Rural Management Anand (IRMA),Anand,Gujarat,51.54,49
Indian Institute of Management Sambalpur,Sambalpur,Odisha,51.47,50
